"spec_id","bandwidth","functional_form","covariate_set","coef","se","pval","ci_lower","ci_upper","n","n_clusters","sig_05","sig_10","rank"
33,0.125,"linear","demographics",86.2938473524037,43.9237269802572,0.0532119941504272,-1.22608912621109,173.813783831018,8326,75,FALSE,TRUE,14
32,0.125,"linear","baseline",87.4557887086026,43.7594166285099,0.0493299280089905,0.263247752552928,174.648329664652,8326,75,TRUE,TRUE,15
40,0.125,"quadratic","full",87.7302354520773,42.999320554686,0.0448920932875665,2.05221898363789,173.408251920517,8326,75,TRUE,TRUE,16
39,0.125,"quadratic","district_fe",87.9319267086517,43.1129121782095,0.0449633701341507,2.02757398965369,173.83627942765,8326,75,TRUE,TRUE,17
36,0.125,"quadratic","none",88.3135177142752,44.1964049389321,0.0493690755762022,0.250258542823502,176.376776885727,8326,75,TRUE,TRUE,18
38,0.125,"quadratic","demographics",88.7894667379022,44.220736656771,0.0483080704521608,0.677725560344115,176.90120791546,8326,75,TRUE,TRUE,19
37,0.125,"quadratic","baseline",89.9483803063654,44.0294868232064,0.0446229439804025,2.21771274063092,177.6790478721,8326,75,TRUE,TRUE,20
24,0.1,"linear","district_fe",103.720364633294,49.4769063667735,0.0394709370401614,5.13547669050379,202.305252576085,7263,75,TRUE,TRUE,21
29,0.1,"quadratic","district_fe",104.248604172694,49.9105940362994,0.0401738247293535,4.7995746850489,203.697633660338,7263,75,TRUE,TRUE,22
25,0.1,"linear","full",104.434185727152,49.1625467393966,0.0369892125638329,6.47567301503855,202.392698439265,7263,75,TRUE,TRUE,23
30,0.1,"quadratic","full",104.656028236679,49.7370255884357,0.038759234585966,5.55284143079436,203.759215042564,7263,75,TRUE,TRUE,24
21,0.1,"linear","none",107.438225743559,51.1370981779152,0.0390483700818609,5.54533340672488,209.331118080392,7263,75,TRUE,TRUE,25
26,0.1,"quadratic","none",108.29252974133,51.3302293988542,0.0382640586015743,6.01481504649799,210.570244436162,7263,75,TRUE,TRUE,26
23,0.1,"linear","demographics",108.471948788021,51.0603800630885,0.0369786129663479,6.73192063184798,210.211976944194,7263,75,TRUE,TRUE,27
28,0.1,"quadratic","demographics",109.009715310895,51.3908541332201,0.0372556124208487,6.611203195955,211.408227425835,7263,75,TRUE,TRUE,28
22,0.1,"linear","baseline",109.660837797441,50.8304756920718,0.0342224161943465,8.37890410025101,210.942771494631,7263,75,TRUE,TRUE,29
27,0.1,"quadratic","baseline",110.168703829514,51.1399470785,0.0344754820741282,8.27013493435207,212.067272724677,7263,75,TRUE,TRUE,30
19,0.075,"quadratic","district_fe",125.583934008876,63.7223762210369,0.0524874380908682,-1.38567222782348,252.553540245575,5488,75,FALSE,TRUE,31
20,0.075,"quadratic","full",126.505327887775,63.5344284250837,0.05015852975811,-0.089784190663778,253.100439966214,5488,75,FALSE,TRUE,32
14,0.075,"linear","district_fe",127.865894600227,62.5898954620995,0.044622575233523,3.15280553316599,252.578983667288,5488,75,TRUE,TRUE,33
15,0.075,"linear","full",128.976925835269,62.2035796829306,0.0416100714628178,5.03358776107675,252.920263909461,5488,75,TRUE,TRUE,34
16,0.075,"quadratic","none",129.551816475495,66.3607053615881,0.0546934025815713,-2.67477532835596,261.778408279346,5488,75,FALSE,TRUE,35
18,0.075,"quadratic","demographics",129.807645303241,66.4159948126544,0.0544246606064918,-2.52911313668352,262.144403743166,5488,75,FALSE,TRUE,36
17,0.075,"quadratic","baseline",131.278526710295,66.1252046027082,0.0508168657149639,-0.478819588339633,263.035873008929,5488,75,FALSE,TRUE,37
11,0.075,"linear","none",131.684933634569,65.7378777258552,0.048820262279319,0.699352984916544,262.670514284221,5488,75,TRUE,TRUE,38
13,0.075,"linear","demographics",132.162256898617,65.5747038546277,0.0474899609570503,1.50180728466287,262.822706512572,5488,75,TRUE,TRUE,39
12,0.075,"linear","baseline",133.855017769103,65.2641560990896,0.0438103568843067,3.81334806538914,263.896687472817,5488,75,TRUE,TRUE,40
4,0.05,"linear","district_fe",138.544466042322,77.1764924263128,0.0767106264147723,-15.2330519226085,292.321984007252,3707,75,FALSE,TRUE,41
9,0.05,"quadratic","district_fe",138.567849391173,78.1498576153233,0.0803263166462296,-17.149141049555,294.284839831902,3707,75,FALSE,TRUE,42
10,0.05,"quadratic","full",140.971231825062,77.4226750253836,0.0726798671547209,-13.2968156762732,295.239279326398,3707,75,FALSE,TRUE,43
5,0.05,"linear","full",140.97972671439,76.3171030910772,0.0687024852202294,-11.0854206207888,293.044874049568,3707,75,FALSE,TRUE,44
1,0.05,"linear","none",153.334327923995,80.0169101478226,0.0591925033318286,-6.10284589552592,312.771501743516,3707,75,FALSE,TRUE,45
6,0.05,"quadratic","none",153.339850436237,80.5684613845227,0.0609008190300135,-7.19631321222931,313.876014084704,3707,75,FALSE,TRUE,46
8,0.05,"quadratic","demographics",154.852588691865,80.2795897179736,0.057576441472617,-5.10798559647699,314.813162980208,3707,75,FALSE,TRUE,47
3,0.05,"linear","demographics",154.908271330658,79.4901484740842,0.0551136739689801,-3.47930694234466,313.295849603661,3707,75,FALSE,TRUE,48
7,0.05,"quadratic","baseline",155.932838562676,79.9117490182021,0.0548052299529893,-3.29479713207411,315.160474257426,3707,75,FALSE,TRUE,49
2,0.05,"linear","baseline",155.96693007501,79.307971149467,0.0529798006958364,-2.05765195485748,313.991512104877,3707,75,FALSE,TRUE,50
